station,hour_in_day,mean,st_dev,no_of_entries
WHA,7,85.02451705932617,25.841646826858014,32
WHA,17,86.32518310546875,34.55099939696653,30
WHA,18,91.19148366044207,32.09416442931829,41
WHA,11,82.09694730318509,20.212597245723654,26
WHA,6,101.16528597745028,41.56323102358596,44
WHA,9,111.39146664268092,53.36498103626739,19
WHA,14,91.84877319335938,21.752731134650357,20
WHA,15,96.41502210828993,33.15374729368486,36
WHA,12,96.27586263020834,46.190427401340195,15
WHA,13,86.0009599165483,23.78794280961478,22
WHA,20,86.35544349407327,31.57861704893452,29
WHA,22,93.97633056640625,23.79166273134396,20
WHA,10,93.59357561383929,32.42655526852623,28
WHA,19,105.31175595238095,55.283218376251384,21
WHA,16,103.1771943063447,40.432916103834955,33
WHA,8,87.80335027521306,22.712070635937284,22
WHA,23,130.89535086495536,100.84651117030495,7
WHA,21,101.87891006469727,55.769284375251814,32
WHA,0,72.59293619791667,5.842954164373936,3
HOM,17,93.68949100889009,33.10443718260942,58
HOM,18,92.08748263404483,26.429933253514605,63
HOM,11,77.67656418372844,19.831122858545736,29
HOM,12,94.3207275390625,37.318256479381894,15
HOM,20,88.93513793945313,31.609963925581763,20
HOM,7,85.02528076171875,33.48895739904086,40
HOM,21,97.34041341145833,49.74302144796433,33
HOM,9,102.34557212271342,48.95343091355413,41
HOM,16,108.44758224487305,38.60094745164553,32
HOM,19,100.56731214021382,46.49001271193551,38
HOM,22,98.44737243652344,18.680044005458637,16
HOM,10,105.83922713842148,58.83797036706233,39
HOM,13,81.95884107506794,21.87163846110405,23
HOM,15,103.63627485795455,34.13431831549155,33
HOM,8,89.68448580228366,28.83575354616095,26
HOM,14,92.29359195106908,22.38886766608665,19
HOM,23,148.9224365234375,121.46297609834697,5
HOM,6,132.72617409446022,71.93349766059616,22
HOM,0,66.1942138671875,6.0003662109375,2
YMT,17,86.49770827520462,28.452094031743528,63
YMT,18,86.5224319740578,23.020767368868135,54
YMT,7,89.38448264382102,27.331595848376786,44
YMT,12,84.16594360351563,24.00233148891869,25
YMT,21,95.7224063873291,47.47117021861592,40
YMT,6,116.63093171296296,58.8503974692729,27
YMT,8,82.05884621360086,17.504572896333247,33
YMT,20,86.2578879462348,23.731857399844046,54
YMT,11,89.98346688406808,29.701004600335708,35
YMT,9,101.2051061585892,41.00189343667316,43
YMT,16,92.30571727263622,31.71827718269375,39
YMT,14,75.64475852564762,13.99016967821696,19
YMT,22,108.78750467300415,55.58304484471674,32
YMT,10,95.60867559714396,32.72456243044085,61
YMT,13,88.47964555789262,29.418933102537512,39
YMT,15,85.00231542342749,22.335060900724088,39
YMT,19,102.68891632556915,44.43449151379787,64
YMT,23,141.342431640625,119.05005222469711,5
MOK,17,94.86480632581208,38.45300328545062,38
MOK,12,99.4234139578683,35.40461497245328,21
MOK,20,85.17233163339121,22.630544404055126,54
MOK,11,82.08230209350586,25.151994191161876,40
MOK,7,79.2053636249743,20.10639191200476,38
MOK,6,115.86247840294472,56.29211861962071,26
MOK,9,105.09085170200893,43.30068115182952,35
MOK,16,93.78184986114502,33.540541881864385,32
MOK,19,99.87099586342866,42.115766832051676,53
MOK,18,85.16566149393718,20.462598321459325,48
MOK,8,77.10068230879934,11.434572732658804,19
MOK,10,91.5765151977539,33.69500070713362,52
MOK,15,95.75650617811415,22.550426663968665,36
MOK,13,110.27595710754395,39.770380886761785,32
MOK,14,83.74887817382813,23.254470365240294,25
MOK,23,109.31793212890625,62.804592135254126,6
MOK,22,105.9023223876953,49.18471770977175,30
MOK,21,91.66521747295673,45.797153098806,26
PRE,17,89.815673828125,30.544446288907313,26
PRE,18,80.50962931315104,14.393818249659038,30
PRE,19,101.05701538085937,45.48856685934453,50
PRE,20,82.2544267762382,21.55818157078908,53
PRE,13,104.15049181486431,41.62996860729514,38
PRE,11,91.13394793342141,30.323556022560233,34
PRE,7,79.55962302468039,25.715097736502017,33
PRE,21,96.27056884765625,48.499386685219726,13
