date,day_in_week,mean,st_dev,no_of_entries
2019-11-03,6,88.92014464591314,26.467829073921262,412
2019-11-05,1,93.75020164006014,39.028341858038246,899
2019-11-06,1,76.28561401367188,13.097826413154062,7
2019-11-12,1,97.7923386306912,42.795786534043415,1022
2019-11-13,2,110.48331278718453,43.53746398832098,994
2019-11-21,3,100.93750619126585,41.68561244535347,1252
2019-11-22,4,92.56720842478448,34.09775533782642,1402
2019-11-28,3,85.42311451769523,25.246848406364673,663
2019-11-30,5,77.00030019727804,15.309967486379575,236
2019-12-02,0,81.53033898048152,21.769183514404546,765
2019-12-03,1,68.527587890625,3.6669921875,2
2019-12-12,3,86.53431660045277,30.029594450367394,770
2019-12-13,3,64.9305419921875,0.0,1
2019-12-21,5,81.88411943677445,20.306030448316484,284
2019-12-22,6,69.7474365234375,7.22972622154688,4
2019-12-25,2,80.2326275714032,20.20296439490326,231
