act_arr_time,station,track,train,act_dep_time,act_occupied_time,act_travelling_time,stop,incident,incident_5_minutes
2019-11-19 05:06:55.064,LOF,11,HT85,2019-11-19 05:07:22.578,27.514,17.0,False,False,False
2019-11-19 05:07:12.994,LOF,13,HT85,2019-11-19 05:08:23.118,70.124,58.0,False,False,False
2019-11-19 05:08:11.563,WTS,01,HT85,2019-11-19 05:08:59.176,47.613,36.0,False,False,False
2019-11-19 05:08:48.418,WTS,03,HT85,2019-11-19 05:09:29.058,40.64,28.0,False,False,False
2019-11-19 05:09:16.906,WTS,05,HT85,2019-11-19 05:10:21.651,64.745,58.0,True,False,False
2019-11-19 05:09:26.468,LAT,6114,ET80,2019-11-19 05:09:49.378,22.91,21.0,False,False,False
2019-11-19 05:09:47.984,LAT,6108,ET80,2019-11-19 05:09:59.339,11.355,7.0,False,False,False
2019-11-19 05:09:55.554,LAT,6106,ET80,2019-11-19 05:10:07.308,11.754,6.0,False,False,False
2019-11-19 05:10:02.526,LAT,6104,ET80,2019-11-19 05:10:15.412,12.886,9.0,True,False,False
2019-11-19 05:10:11.690,LAT,6102,ET80,2019-11-19 05:10:21.452,9.762,6.0,False,False,False
2019-11-19 05:10:15.411,WTS,07,HT85,2019-11-19 05:10:38.186,22.775,18.0,False,False,False
2019-11-19 05:10:18.464,KWT,6016,ET80,2019-11-19 05:10:40.178,21.714,15.0,False,False,False
2019-11-19 05:10:33.604,WTS,09,HT85,2019-11-19 05:10:52.131,18.527,14.0,False,False,False
2019-11-19 05:10:34.202,KWT,6014,ET80,2019-11-19 05:10:56.115,21.913,15.0,False,False,False
2019-11-19 05:10:47.948,WTS,11,HT85,2019-11-19 05:11:04.682,16.734,12.0,False,False,False
2019-11-19 05:10:49.940,KWT,6012,ET80,2019-11-19 05:11:13.248,23.308000000000003,17.0,False,False,False
2019-11-19 05:10:57.510,MOK,43,KT82,2019-11-19 05:11:13.049,15.539,9.0,False,False,False
2019-11-19 05:11:00.100,DIH,01,HT85,2019-11-19 05:11:18.627,18.527,12.0,False,False,False
2019-11-19 05:11:06.674,MOK,45,KT82,2019-11-19 05:11:27.193,20.519,15.0,False,False,False
2019-11-19 05:11:07.272,KWT,6010,ET80,2019-11-19 05:11:30.580,23.308000000000003,16.0,False,False,False
2019-11-19 05:11:12.850,DIH,03,HT85,2019-11-19 05:11:32.174,19.324,14.0,False,False,False
2019-11-19 05:11:22.014,MOK,47,KT82,2019-11-19 05:11:44.127,22.113000000000003,16.0,True,False,False
2019-11-19 05:11:23.408,KWT,6008,ET80,2019-11-19 05:11:53.490,30.082,24.0,True,False,False
2019-11-19 05:11:26.994,DIH,05,HT85,2019-11-19 05:11:46.716,19.722,13.0,True,False,False
2019-11-19 05:11:38.349,SKM,01,KT82,2019-11-19 05:11:55.283,16.934,10.0,False,False,False
2019-11-19 05:11:40.341,DIH,07,HT85,2019-11-19 05:12:03.251,22.91,14.0,False,False,False
2019-11-19 05:11:47.513,KWT,6006,ET80,2019-11-19 05:12:02.853,15.34,8.0,False,False,False
2019-11-19 05:11:49.107,SKM,03,KT82,2019-11-19 05:12:09.125,20.018,12.0,False,False,False
2019-11-19 05:11:55.283,DIH,09,HT85,2019-11-19 05:12:18.591,23.308000000000003,18.0,False,False,False
2019-11-19 05:11:56.080,KWT,6004,ET80,2019-11-19 05:12:10.833,14.753,8.0,False,False,False
