act_arr_time,station,track,train,act_dep_time,act_occupied_time,act_travelling_time,stop
2019-08-11 15:15:42.894,SKM,08,QC18,2019-08-11 15:16:10.002,27.108,8,False
2019-08-11 15:15:42.909,YAT,7007,GC02,2019-08-11 15:16:09.006,26.097,18,False
2019-08-11 15:15:44.710,MOK,41,GC11,2019-08-11 15:16:03.330,18.62,5,False
2019-08-11 15:15:44.902,HOM,10,RC15,2019-08-11 15:17:03.391,78.489,8,False
2019-08-11 15:15:45.299,MOK,32B,RC17,2019-08-11 15:16:08.408,23.109,6,False
2019-08-11 15:15:47.291,LOF,03,GC09,2019-08-11 15:16:03.826,16.535,5,False
2019-08-11 15:15:49.284,KWT,6001,GC04,2019-08-11 15:16:11.848,22.564,7,False
2019-08-11 15:15:49.683,LOF,14,RC20,2019-08-11 15:16:11.396,21.713,10,False
2019-08-11 15:15:49.881,DIH,06,RC22,2019-08-11 15:16:27.532,37.651,15,False
2019-08-11 15:15:50.479,MOK,43,GC11,2019-08-11 15:16:08.009,17.53,5,False
2019-08-11 15:15:51.076,SKM,10,QC18,2019-08-11 15:17:08.371,77.295,11,False
2019-08-11 15:15:52.072,KWT,6010,QC25,2019-08-11 15:16:26.138,34.066,11,False
2019-08-11 15:15:52.072,MOK,34A,RC17,2019-08-11 15:16:14.384,22.312,7,False
2019-08-11 15:15:52.471,LOF,05,GC09,2019-08-11 15:16:17.373,24.902,7,False
2019-08-11 15:15:53.068,HOM,12,RC15,2019-08-11 15:17:10.762,77.694,58,True
2019-08-11 15:15:54.264,YAT,7002,RC26,2019-08-11 15:16:02.033,7.769,0,False
2019-08-11 15:15:54.463,TIK,7110,QC27,2019-08-11 15:16:08.009,13.546,1,False
2019-08-11 15:15:54.861,TIK,7115,GC01,2019-08-11 15:16:06.017,11.156,0,False
2019-08-11 15:15:55.061,TIK,7149,GC01,2019-08-11 15:16:10.002,14.941,0,False
2019-08-11 15:15:55.169,LAT,6112,RC26,2019-08-11 15:16:32.911,37.742,20,False
2019-08-11 15:15:55.260,TIK,7120,GC01,2019-08-11 15:16:17.970,22.71,,False
2019-08-11 15:15:55.615,TIK,7108,QC27,2019-08-11 15:16:14.982,19.367,12,False
2019-08-11 15:15:55.658,MOK,45,GC11,2019-08-11 15:16:28.330,32.672,11,False
2019-08-11 15:15:57.252,KWT,6003,GC04,2019-08-11 15:16:17.284,20.032,4,False
2019-08-11 15:15:59.842,MOK,34B,RC17,2019-08-11 15:16:19.962,20.12,6,False
2019-08-11 15:16:00.041,KOT,02,RC20,2019-08-11 15:16:20.361,20.32,9,False
2019-08-11 15:16:00.151,LOF,07,GC09,2019-08-11 15:17:08.371,68.22,11,False
2019-08-11 15:16:01.236,YAT,7009,GC02,2019-08-11 15:16:23.151,21.915,13,False
2019-08-11 15:16:01.236,TIK,7122,QC01,2019-08-11 15:16:59.008,57.772,39,False
2019-08-11 15:16:01.835,KWT,6005,GC04,2019-08-11 15:16:28.329,26.494,6,False
2019-08-11 15:16:03.030,SKM,12,QC18,2019-08-11 15:17:17.350,74.32,62,True
2019-08-11 15:16:04.025,KWT,6008,QC25,2019-08-11 15:17:32.078,88.053,70,True
2019-08-11 15:16:04.623,WTS,07,GC07,2019-08-11 15:16:28.330,23.707,14,False
2019-08-11 15:16:05.818,DIH,08,RC22,2019-08-11 15:17:17.319,71.501,12,False
2019-08-11 15:16:06.814,MOK,36,RC17,2019-08-11 15:16:38.489,31.675,13,False
2019-08-11 15:16:06.814,MOK,47,GC11,2019-08-11 15:17:26.898,80.084,62,True
2019-08-11 15:16:07.810,SKM,15,GC10,2019-08-11 15:16:31.318,23.508,13,False
2019-08-11 15:16:08.408,TIK,7106,QC27,2019-08-11 15:16:36.696,28.288,23,False
2019-08-11 15:16:08.408,KWT,6007,GC04,2019-08-11 15:17:23.711,75.303,57,True
2019-08-11 15:16:08.607,TIK,7112C,RC28,2019-08-11 15:17:41.042,92.435,5,False
2019-08-11 15:16:09.404,KOT,04,RC20,2019-08-11 15:16:29.325,19.921,8,False
2019-08-11 15:16:10.400,NTK,08,RC24,2019-08-11 15:16:36.895,26.495,13,False
2019-08-11 15:16:11.396,KOB,12,QC23,2019-08-11 15:16:31.938,20.542,10,False
2019-08-11 15:16:11.848,LOF,09,GC09,2019-08-11 15:17:17.934,66.086,54,True
2019-08-11 15:16:12.392,WTS,12,QC21,2019-08-11 15:16:32.911,20.519,9,False
2019-08-11 15:16:13.986,TIK,7112B,RC28,2019-08-11 15:17:45.027,91.041,6,False
2019-08-11 15:16:14.584,TIK,7101,GC02,2019-08-11 15:16:56.020,41.436,28,False
2019-08-11 15:16:15.978,LAT,6110,RC26,2019-08-11 15:16:51.040,35.062,19,False
2019-08-11 15:16:17.915,DIH,10,RC22,2019-08-11 15:17:25.902,67.987,55,True
2019-08-11 15:16:17.915,KOT,06,RC20,2019-08-11 15:16:43.470,25.555,6,False
2019-08-11 15:16:18.966,WTS,09,GC07,2019-08-11 15:16:36.895,17.929,8,False
2019-08-11 15:16:19.962,MOK,38,RC17,2019-08-11 15:17:32.876,72.914,10,False
2019-08-11 15:16:20.759,TIK,7112A,RC28,2019-08-11 15:17:52.891,92.132,77,True
2019-08-11 15:16:21.158,SKM,17,GC10,2019-08-11 15:16:39.485,18.327,9,False
2019-08-11 15:16:21.556,WTS,14,QC21,2019-08-11 15:16:40.481,18.925,7,False
2019-08-11 15:16:22.142,KOB,14,QC23,2019-08-11 15:16:40.481,18.339,7,False
2019-08-11 15:16:22.552,CHH,13A,GC06,2019-08-11 15:16:46.458,23.906,12,False
2019-08-11 15:16:24.345,NTK,10,RC24,2019-08-11 15:16:47.454,23.109,10,False
2019-08-11 15:16:24.743,KOT,08,RC20,2019-08-11 15:17:51.003,86.26,11,False
2019-08-11 15:16:27.218,KOB,11,GC05,2019-08-11 15:16:52.435,25.217,14,False
2019-08-11 15:16:27.732,HOM,13,GC13,2019-08-11 15:16:51.836,24.104,6,False
2019-08-11 15:16:27.939,WTS,11,GC07,2019-08-11 15:16:44.266,16.327,6,False
2019-08-11 15:16:29.525,LOF,02,QC21,2019-08-11 15:16:49.446,19.921,6,False
2019-08-11 15:16:30.122,KOB,16,QC23,2019-08-11 15:16:49.446,19.324,9,False
2019-08-11 15:16:30.122,MOK,40,RC17,2019-08-11 15:17:39.847,69.725,53,True
2019-08-11 15:16:31.118,SKM,19,GC10,2019-08-11 15:16:45.860,14.742,5,False
2019-08-11 15:16:31.716,TIK,7104,QC27,2019-08-11 15:16:47.055,15.339,5,False
2019-08-11 15:16:34.050,DIH,01,GC07,2019-08-11 15:16:56.418,22.368,7,False
2019-08-11 15:16:34.505,NTK,12,RC24,2019-08-11 15:16:51.438,16.933,4,False
2019-08-11 15:16:34.505,HOM,15,GC13,2019-08-11 15:17:03.391,28.886,13,False
2019-08-11 15:16:35.103,CHH,15,GC06,2019-08-11 15:16:54.426,19.323,8,False
2019-08-11 15:16:35.700,LAT,6108,RC26,2019-08-11 15:17:08.969,33.269,6,False
2019-08-11 15:16:35.899,LOF,04,QC21,2019-08-11 15:17:00.801,24.902,8,False
2019-08-11 15:16:36.099,KOT,10,RC20,2019-08-11 15:18:00.366,84.267,71,True
2019-08-11 15:16:36.697,YMT,37,GC12,2019-08-11 15:16:57.414,20.717,7,False
2019-08-11 15:16:36.895,SKM,21,GC10,2019-08-11 15:16:51.438,14.543,6,False
2019-08-11 15:16:37.294,LAT,6107,GC03,2019-08-11 15:17:01.000,23.706,10,False
2019-08-11 15:16:37.493,TIK,7102,QC27,2019-08-11 15:16:58.012,20.519,12,False
2019-08-11 15:16:39.087,NTK,14,RC24,2019-08-11 15:16:58.411,19.324,7,False
2019-08-11 15:16:39.286,YMT,42,QC16,2019-08-11 15:16:59.805,20.519,8,False
2019-08-11 15:16:39.884,CHH,02,QC23,2019-08-11 15:17:00.801,20.917,11,False
2019-08-11 15:16:40.681,TIK,7120,QC01,2019-08-11 15:17:07.940,27.259,6,False
2019-08-11 15:16:41.477,DIH,03,GC07,2019-08-11 15:17:59.968,78.491,8,False
2019-08-11 15:16:41.876,KOB,13,GC05,2019-08-11 15:17:01.399,19.523,9,False
2019-08-11 15:16:42.673,TIK,7103,GC02,2019-08-11 15:17:14.946,32.273,30,False
2019-08-11 15:16:42.673,LAT,6106,RC26,2019-08-11 15:17:56.927,74.254,9,False
2019-08-11 15:16:43.470,CHH,17,GC06,2019-08-11 15:17:00.801,17.331,6,False
2019-08-11 15:16:43.470,KOT,01,GC10,2019-08-11 15:16:57.414,13.944,5,False
2019-08-11 15:16:43.778,YMT,39,GC12,2019-08-11 15:17:03.989,20.211,6,False
2019-08-11 15:16:44.266,LOF,06,QC21,2019-08-11 15:17:18.872,34.606,12,False
2019-08-11 15:16:46.458,KOB,02,RC24,2019-08-11 15:17:10.363,23.905,11,False
2019-08-11 15:16:47.653,TIK,7118,QC01,2019-08-11 15:17:18.872,31.219,4,False
2019-08-11 15:16:47.653,LAT,6109,GC03,2019-08-11 15:17:21.121,33.468,26,False
2019-08-11 15:16:47.654,YMT,44,QC16,2019-08-11 15:17:10.961,23.307,12,False
2019-08-11 15:16:48.450,HOM,17,GC13,2019-08-11 15:17:23.511,35.061,22,False
2019-08-11 15:16:49.247,KOT,03,GC10,2019-08-11 15:17:03.989,14.742,5,False
2019-08-11 15:16:49.645,DIH,05,GC07,2019-08-11 15:18:09.530,79.885,66,True
2019-08-11 15:16:50.181,CHH,19,GC06,2019-08-11 15:17:07.939,17.758,7,False
2019-08-11 15:16:50.243,YAT,7012,QC27,2019-08-11 15:17:18.872,28.629,23,False
2019-08-11 15:16:50.641,YMT,41,GC12,2019-08-11 15:17:13.330,22.689,9,False
2019-08-11 15:16:51.239,HOM,14,RC15,2019-08-11 15:17:17.349,26.11,8,False
2019-08-11 15:16:51.716,CHH,04,QC23,2019-08-11 15:17:13.330,21.614,10,False
2019-08-11 15:16:51.717,KOB,15,GC05,2019-08-11 15:17:09.367,17.65,7,False
2019-08-11 15:16:52.235,LAT,6104,RC26,2019-08-11 15:18:05.936,73.701,58,True
2019-08-11 15:16:52.236,TIK,7116,QC01,2019-08-11 15:18:03.354,71.118,21,False
2019-08-11 15:16:54.825,KOT,05,GC10,2019-08-11 15:17:10.961,16.136,5,False
