act_arr_time,station,track,train,act_dep_time,act_occupied_time,act_travelling_time,stop
2019-12-24 10:52:51.258,CHH,16,QA20,2019-12-24 10:53:08.428,17.17,4,False
2019-12-24 10:52:51.295,NTK,14,QA01,2019-12-24 10:53:12.413,21.118,7,False
2019-12-24 10:52:51.893,MOK,47,GA12,2019-12-24 10:54:07.398,75.505,57,True
2019-12-24 10:52:53.686,CHH,03,GA09,2019-12-24 10:53:12.811,19.125,4,False
2019-12-24 10:52:53.885,YMT,33,GA13,2019-12-24 10:53:17.393,23.508,4,False
2019-12-24 10:52:54.085,HOM,10,QA15,2019-12-24 10:54:50.031,115.946,9,False
2019-12-24 10:52:55.877,CHH,18,QA20,2019-12-24 10:53:12.413,16.536,3,False
2019-12-24 10:52:56.475,KOT,01,GA11,2019-12-24 10:53:16.397,19.922,7,False
2019-12-24 10:52:58.069,SKM,20,QA17,2019-12-24 10:53:25.761,27.692,12,False
2019-12-24 10:52:58.468,YMT,35,GA13,2019-12-24 10:54:15.964,77.496,60,True
2019-12-24 10:52:58.468,CHH,05,GA09,2019-12-24 10:53:19.983,21.515,7,False
2019-12-24 10:52:58.666,KOB,02,QA01,2019-12-24 10:53:24.366,25.7,11,False
2019-12-24 10:52:59.265,LAT,6102,HA21,2019-12-24 10:53:23.768,24.503,8,False
2019-12-24 10:52:59.463,CHH,20,QA20,2019-12-24 10:53:18.987,19.524,5,False
2019-12-24 10:53:01.854,WTS,10,QA19,2019-12-24 10:54:16.362,74.508,62,True
2019-12-24 10:53:03.049,YAT,7004,QA03,2019-12-24 10:53:21.577,18.528,6,False
2019-12-24 10:53:03.448,HOM,12,QA15,2019-12-24 10:54:57.325,113.877,95,True
2019-12-24 10:53:04.045,KOT,03,GA11,2019-12-24 10:53:25.761,21.716,8,False
2019-12-24 10:53:04.405,MOK,42,QA16,2019-12-24 10:53:28.350,23.945,9,False
2019-12-24 10:53:05.241,DIH,02,QA20,2019-12-24 10:53:30.344,25.103,9,False
2019-12-24 10:53:06.238,CHH,07,GA09,2019-12-24 10:53:22.971,16.733,2,False
2019-12-24 10:53:07.034,LAT,6107,GA07,2019-12-24 10:53:29.745,22.711,15,False
2019-12-24 10:53:07.432,KWT,6016,HA21,2019-12-24 10:53:53.452,46.02,15,False
2019-12-24 10:53:09.225,YAT,7002,QA03,2019-12-24 10:53:29.745,20.52,13,False
2019-12-24 10:53:09.226,CHH,09B,GA09,2019-12-24 10:53:39.905,30.679,10,False
2019-12-24 10:53:10.420,KOB,04,QA01,2019-12-24 10:53:36.917,26.497,12,False
2019-12-24 10:53:10.819,SKM,22A,QA17,2019-12-24 10:53:32.335,21.516,2,False
2019-12-24 10:53:12.414,KOT,05,GA11,2019-12-24 10:53:35.921,23.507,8,False
2019-12-24 10:53:13.010,SKM,22B,QA17,2019-12-24 10:54:21.343,68.333,4,False
2019-12-24 10:53:13.807,MOK,44,QA16,2019-12-24 10:53:34.327,20.52,4,False
2019-12-24 10:53:15.003,DIH,04,QA20,2019-12-24 10:53:39.905,24.902,8,False
2019-12-24 10:53:15.220,NTK,13,GA24,2019-12-24 10:53:37.913,22.693,10,False
2019-12-24 10:53:17.792,SKM,22C,QA17,2019-12-24 10:54:27.320,69.528,5,False
2019-12-24 10:53:18.788,MOK,46,QA16,2019-12-24 10:53:44.288,25.5,11,False
2019-12-24 10:53:19.385,CHH,11,GA09,2019-12-24 10:54:47.839,88.454,74,True
2019-12-24 10:53:19.574,WHA,04,GA14,2019-12-24 10:53:45.483,25.909,11,False
2019-12-24 10:53:21.178,KOT,07,GA11,2019-12-24 10:53:50.266,29.088,10,False
2019-12-24 10:53:22.364,LAT,6109,GA07,2019-12-24 10:53:51.659,29.295,22,False
2019-12-24 10:53:22.573,KWT,6014,HA21,2019-12-24 10:54:09.987,47.414,27,False
2019-12-24 10:53:22.573,LAT,6112,QA03,2019-12-24 10:54:01.621,39.048,20,False
2019-12-24 10:53:22.574,KOB,06,QA01,2019-12-24 10:53:52.456,29.882,12,False
2019-12-24 10:53:22.971,MOK,32A,QA17,2019-12-24 10:54:33.895,70.924,52,True
2019-12-24 10:53:23.569,DIH,06,QA20,2019-12-24 10:53:58.831,35.262,15,False
2019-12-24 10:53:26.159,NTK,15,GA24,2019-12-24 10:53:47.874,21.715,10,False
2019-12-24 10:53:27.155,TIK,7110,QA22,2019-12-24 10:53:47.675,20.52,10,False
2019-12-24 10:53:30.344,YMT,32,QA16,2019-12-24 10:53:52.854,22.51,7,False
