act_arr_time,station,track,train,act_dep_time,act_occupied_time,act_travelling_time,stop
2019-11-25 20:38:43.472,HOM,15,GA43,2019-11-25 20:39:13.355,29.883,15,False
2019-11-25 20:38:43.472,SKM,09,GA14,2019-11-25 20:39:00.560,17.088,3,False
2019-11-25 20:38:44.070,LOF,13,GA12,2019-11-25 20:39:01.202,17.132,7,False
2019-11-25 20:38:44.468,DIH,04,QA01,2019-11-25 20:39:09.569,25.101,9,False
2019-11-25 20:38:44.468,HOM,06,QA17,2019-11-25 20:39:21.124,36.656,19,False
2019-11-25 20:38:45.663,WHA,02,GA44,2019-11-25 20:39:04.191,18.528,5,False
2019-11-25 20:38:45.663,KOB,06,QA03,2019-11-25 20:39:10.566,24.903,8,False
2019-11-25 20:38:46.859,MOK,35,GA42,2019-11-25 20:40:02.561,75.702,11,False
2019-11-25 20:38:47.257,SKM,11,GA14,2019-11-25 20:39:09.570,22.313,4,False
2019-11-25 20:38:47.656,LAT,6112,QA05,2019-11-25 20:39:28.694,41.038,27,False
2019-11-25 20:38:47.855,KWT,6006,QA04,2019-11-25 20:39:11.961,24.106,6,False
2019-11-25 20:38:48.452,LOF,02,QA46,2019-11-25 20:39:07.179,18.727,6,False
2019-11-25 20:38:48.851,SKM,06,QA19,2019-11-25 20:39:11.562,22.711,8,False
2019-11-25 20:38:49.449,MOK,38,QA18,2019-11-25 20:40:02.163,72.714,9,False
2019-11-25 20:38:49.847,KOT,15,GA41,2019-11-25 20:39:05.585,15.738,6,False
2019-11-25 20:38:51.640,SKM,13,GA14,2019-11-25 20:40:15.112,83.472,66,True
2019-11-25 20:38:51.641,WHA,04,GA44,2019-11-25 20:39:17.141,25.5,6,False
2019-11-25 20:38:52.039,WTS,01,GA12,2019-11-25 20:39:10.167,18.128,9,False
2019-11-25 20:38:53.034,YAT,7009,GA08,2019-11-25 20:39:15.460,22.426,15,False
2019-11-25 20:38:53.632,DIH,06,QA01,2019-11-25 20:39:29.002,35.37,14,False
2019-11-25 20:38:53.831,KOB,08,QA03,2019-11-25 20:40:12.124,78.293,11,False
2019-11-25 20:38:54.584,KWT,6004,QA04,2019-11-25 20:39:17.339,22.755,7,False
2019-11-25 20:38:55.027,LOF,04,QA46,2019-11-25 20:39:13.554,18.527,7,False
2019-11-25 20:38:56.222,TIK,7120,QA07,2019-11-25 20:39:22.520,26.298,6,False
2019-11-25 20:38:56.621,LOF,01,GA41,2019-11-25 20:39:12.558,15.937,6,False
2019-11-25 20:38:57.817,SKM,08,QA19,2019-11-25 20:39:25.706,27.889,8,False
2019-11-25 20:38:57.949,CHH,13A,GA40,2019-11-25 20:39:23.117,25.168,13,False
2019-11-25 20:38:58.119,WHA,06,GA44,2019-11-25 20:40:52.764,114.645,97,True
2019-11-25 20:38:58.214,MOK,37,GA42,2019-11-25 20:40:08.139,69.925,52,True
2019-11-25 20:38:58.812,HOM,17,GA43,2019-11-25 20:39:34.472,35.66,23,False
2019-11-25 20:38:59.409,MOK,40,QA18,2019-11-25 20:40:09.534,70.125,53,True
2019-11-25 20:39:01.003,KOB,11,GA10,2019-11-25 20:39:26.702,25.699,14,False
2019-11-25 20:39:01.402,WTS,03,GA12,2019-11-25 20:39:26.105,24.703,5,False
2019-11-25 20:39:02.198,KWT,6002,QA04,2019-11-25 20:39:29.890,27.692,13,False
2019-11-25 20:39:02.398,LOF,06,QA46,2019-11-25 20:39:28.694,26.296,8,False
2019-11-25 20:39:02.597,TIK,7118,QA07,2019-11-25 20:39:32.680,30.083,5,False
2019-11-25 20:39:02.796,LOF,03,GA41,2019-11-25 20:39:19.530,16.734,5,False
2019-11-25 20:39:04.191,HOM,08,QA17,2019-11-25 20:39:57.548,53.357,30,False
2019-11-25 20:39:05.785,KOB,10,QA03,2019-11-25 20:40:22.085,76.3,64,True
2019-11-25 20:39:06.780,SKM,10,QA19,2019-11-25 20:40:15.510,68.73,11,False
2019-11-25 20:39:07.378,WTS,05,GA12,2019-11-25 20:40:20.690,73.312,57,True
2019-11-25 20:39:08.175,TIK,7101,GA08,2019-11-25 20:39:48.417,40.242,27,False
2019-11-25 20:39:08.175,TIK,7116,QA07,2019-11-25 20:40:16.506,68.331,11,False
2019-11-25 20:39:08.374,DIH,08,QA01,2019-11-25 20:40:18.101,69.727,12,False
2019-11-25 20:39:08.374,LOF,05,GA41,2019-11-25 20:39:33.077,24.703,7,False
2019-11-25 20:39:11.163,CHH,15,GA40,2019-11-25 20:39:31.085,19.922,8,False
2019-11-25 20:39:11.163,LOF,08,QA46,2019-11-25 20:40:23.678,72.515,10,False
2019-11-25 20:39:14.948,LAT,6110,QA05,2019-11-25 20:39:47.421,32.473,16,False
2019-11-25 20:39:15.460,NTK,02,QA04,2019-11-25 20:39:38.059,22.599,10,False
2019-11-25 20:39:15.460,KOB,13,GA10,2019-11-25 20:39:35.069,19.609,10,False
2019-11-25 20:39:16.144,LOF,07,GA41,2019-11-25 20:40:27.663,71.519,10,False
2019-11-25 20:39:18.335,SKM,12,QA19,2019-11-25 20:40:28.051,69.716,54,True
2019-11-25 20:39:19.331,CHH,17,GA40,2019-11-25 20:39:38.655,19.324,7,False
2019-11-25 20:39:19.888,TIK,7114,QA07,2019-11-25 20:40:32.444,72.556,52,False
2019-11-25 20:39:20.526,DIH,10,QA01,2019-11-25 20:40:26.667,66.141,53,True
2019-11-25 20:39:21.324,LOF,10,QA46,2019-11-25 20:40:32.046,70.722,60,True
2019-11-25 20:39:22.120,HOM,19,GA43,2019-11-25 20:39:56.784,34.664,22,False
2019-11-25 20:39:25.870,KOB,15,GA10,2019-11-25 20:39:42.640,16.77,7,False
2019-11-25 20:39:26.105,NTK,04,QA04,2019-11-25 20:39:54.194,28.089,9,False
2019-11-25 20:39:26.503,CHH,19,GA40,2019-11-25 20:39:46.225,19.722,7,False
2019-11-25 20:39:26.901,LOF,09,GA41,2019-11-25 20:40:36.627,69.726,58,True
2019-11-25 20:39:29.002,KWT,6009,GA39,2019-11-25 20:39:52.202,23.2,8,False
2019-11-25 20:39:31.683,LAT,6108,QA05,2019-11-25 20:40:00.569,28.886,6,False
2019-11-25 20:39:33.276,NTK,01,GA10,2019-11-25 20:39:48.616,15.34,5,False
2019-11-25 20:39:33.675,CHH,21,GA40,2019-11-25 20:39:54.194,20.519,8,False
2019-11-25 20:39:34.272,HOM,10,QA17,2019-11-25 20:42:07.271,152.999,9,False
2019-11-25 20:39:35.867,TIK,7103,GA08,2019-11-25 20:40:00.768,24.901,16,False
2019-11-25 20:39:36.066,NTK,06,QA04,2019-11-25 20:40:45.992,69.926,54,True
2019-11-25 20:39:37.460,KWT,6011,GA39,2019-11-25 20:39:57.548,20.088,6,False
2019-11-25 20:39:37.889,LAT,6106,QA05,2019-11-25 20:40:48.580,70.691,8,False
2019-11-25 20:39:39.054,NTK,03,GA10,2019-11-25 20:39:50.592,11.538,1,False
2019-11-25 20:39:41.046,NTK,05,GA10,2019-11-25 20:39:58.577,17.531,7,False
2019-11-25 20:39:42.241,KOB,01,GA40,2019-11-25 20:40:02.163,19.922,7,False
2019-11-25 20:39:43.835,HOM,12,QA17,2019-11-25 20:42:13.845,150.01,132,True
2019-11-25 20:39:44.034,KWT,6013,GA39,2019-11-25 20:40:06.147,22.113,9,False
2019-11-25 20:39:44.233,HOM,21,GA43,2019-11-25 20:40:21.088,36.855,22,False
2019-11-25 20:39:46.823,LAT,6104,QA05,2019-11-25 20:40:56.549,69.726,54,True
2019-11-25 20:39:48.616,NTK,07,GA10,2019-11-25 20:40:10.530,21.914,8,False
2019-11-25 20:39:49.413,KOB,03,GA40,2019-11-25 20:40:09.534,20.121,9,False
2019-11-25 20:39:51.007,MOK,39,GA42,2019-11-25 20:40:14.087,23.08,7,False
2019-11-25 20:39:52.003,TIK,7105,GA08,2019-11-25 20:40:08.737,16.734,6,False
2019-11-25 20:39:53.199,KWT,6015,GA39,2019-11-25 20:40:17.503,24.304,11,False
2019-11-25 20:39:53.397,MOK,42,QA18,2019-11-25 20:40:16.108,22.711,8,False
2019-11-25 20:39:56.983,NTK,09,GA10,2019-11-25 20:41:07.705,70.722,10,False
2019-11-25 20:39:57.943,TIK,7110,QA06,2019-11-25 20:40:12.522,14.579,1,False
2019-11-25 20:39:58.178,TIK,7107,GA08,2019-11-25 20:40:16.722,18.544,4,False
