act_arr_time,station,track,train,act_dep_time,act_occupied_time,act_travelling_time,stop,arr_time,dep_time,arr_delay,dep_delay,incident,destination_code_train,timetable_code_train,number_train,quantile,fault_description,fault_classification,propagated,act_travelling_time_quantile,act_occupied_time_quantile
2019-11-18 23:55:38.374,DIH,03,KS92,2019-11-18 23:57:38.502,120.128,39.0,False,,,,,False,K,S,92,0,,,True,0,0
2019-11-18 23:56:17.819,DIH,05,KS92,2019-11-18 23:57:52.448,94.629,76.0,True,,,,,False,K,S,92,0,,,True,0,0
2019-11-18 23:57:34.120,DIH,07,KS92,2019-11-18 23:58:04.998,30.878,10.0,False,,,,,False,K,S,92,0,,,True,0,0
2019-11-18 23:57:44.678,DIH,09,KS92,2019-11-18 23:58:16.354,31.676,17.0,False,,,,,False,K,S,92,0,,,True,0,0
2019-11-18 23:58:01.811,CHH,01,KS92,2019-11-18 23:58:23.924,22.113000000000003,8.0,False,,,,,False,K,S,92,0,,,True,0,0
2019-11-18 23:58:10.775,CHH,03,KS92,2019-11-18 23:58:30.498,19.723,5.0,False,,,,,False,K,S,92,0,,,True,0,0
2019-11-18 23:58:16.752,CHH,05,KS92,2019-11-18 23:58:37.887,21.135,6.0,False,,,,,False,K,S,92,0,,,True,0,0
2019-11-18 23:58:23.326,CHH,07,KS92,2019-11-18 23:58:42.451,19.125,3.0,False,,,,,False,K,S,92,0,,,True,0,0
2019-11-18 23:58:25.916,TIK,7117,HA46,2019-11-18 23:58:52.611,26.695,6.0,False,,,,,False,H,A,46,0,,,True,0,0
2019-11-18 23:58:26.514,CHH,09B,KS92,2019-11-18 23:58:56.396,29.882,10.0,False,,,,,False,K,S,92,0,,,True,0,0
2019-11-18 23:58:32.092,TIK,7149,HA46,2019-11-18 23:58:54.603,22.511,3.0,False,,,,,False,H,A,46,0,,,True,0,0
2019-11-18 23:58:32.092,WHA,04,QA12,2019-11-18 23:58:57.798,25.706,11.0,False,,,,,False,Q,A,12,0,,,True,0,0
2019-11-18 23:58:36.076,TIK,7118,HA46,2019-11-18 23:59:00.580,24.504,4.0,False,,,,,False,H,A,46,0,,,True,0,0
2019-11-18 23:58:37.472,CHH,11,KS92,2019-11-18 23:59:20.900,43.428,21.0,True,,,,,False,K,S,92,0,,,True,0,0
2019-11-18 23:58:40.376,TIK,7116,HA46,2019-11-18 23:59:15.521,35.145,12.0,False,,,,,False,H,A,46,0,,,True,0,0
2019-11-18 23:58:43.646,WHA,02,QA12,2019-11-18 23:59:07.155,23.509,7.0,False,,,,,False,Q,A,12,0,,,True,0,0
2019-11-18 23:58:51.217,HOM,20,QA12,2019-11-18 23:59:23.888,32.671,16.0,False,,,,,False,Q,A,12,0,,,True,0,0
2019-11-18 23:58:52.810,TIK,7114,HA46,2019-11-18 23:59:23.689,30.879,15.0,False,,,,,False,H,A,46,0,,,True,0,0
2019-11-18 23:58:58.986,CHH,13A,KS92,2019-11-18 23:59:34.048,35.062,4.0,False,,,,,False,K,S,92,0,,,True,0,0
2019-11-18 23:59:03.170,CHH,24,KS92,2019-11-18 23:59:43.013,39.843,3.0,False,,,,,False,K,S,92,0,,,True,0,0
